"subject_uri","target_uri","field","birthYear"
"http://dbpedia.org/resource/Ismaël_Bullialdus","http://dbpedia.org/resource/Astronomer","Astronomer",1605
"http://dbpedia.org/resource/Juan_Caramuel_y_Lobkowitz","http://dbpedia.org/resource/Mathematician","Mathematician",1606
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/resource/Mathematician","Mathematician",1606
"http://dbpedia.org/resource/Vincentio_Reinieri","http://dbpedia.org/resource/Astronomer","Astronomer",1606
"http://dbpedia.org/resource/Pierre_de_Fermat","http://dbpedia.org/resource/Mathematics","Mathematics",1607
"http://dbpedia.org/resource/Pierre_de_Fermat","http://dbpedia.org/resource/Law","Law",1607
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/resource/Mathematician","Mathematician",1608
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/resource/Physicist","Physicist",1608
"http://dbpedia.org/resource/Honoré_Fabri","http://dbpedia.org/resource/Jesuit","Jesuit",1608
"http://dbpedia.org/resource/Giovanni_Alfonso_Borelli","http://dbpedia.org/resource/Physiologist","Physiologist",1608
"http://dbpedia.org/resource/Giovanni_Alfonso_Borelli","http://dbpedia.org/resource/Mathematician","Mathematician",1608
"http://dbpedia.org/resource/Giovanni_Alfonso_Borelli","http://dbpedia.org/resource/Physicist","Physicist",1608
"http://dbpedia.org/resource/William_Crabtree","http://dbpedia.org/resource/Astronomy","Astronomy",1610
"http://dbpedia.org/resource/Johannes_Hevelius","http://dbpedia.org/resource/Brewing","Brewing",1611
"http://dbpedia.org/resource/Johannes_Hevelius","http://dbpedia.org/resource/Astronomy","Astronomy",1611
"http://dbpedia.org/resource/Johannes_Hevelius","http://dbpedia.org/resource/Jurisprudence","Jurisprudence",1611
"http://dbpedia.org/resource/John_Pell_(mathematician)","http://dbpedia.org/resource/Mathematician","Mathematician",1611
"http://dbpedia.org/resource/John_Pell_(mathematician)","http://dbpedia.org/resource/Linguist","Linguist",1611
"http://dbpedia.org/resource/Frans_van_Schooten","http://dbpedia.org/resource/Mathematics","Mathematics",1615
"http://dbpedia.org/resource/Nicholas_Culpeper","http://dbpedia.org/resource/Herbalism","Herbalism",1616
"http://dbpedia.org/resource/Nicholas_Culpeper","http://dbpedia.org/resource/Botany","Botany",1616
"http://dbpedia.org/resource/Nicholas_Culpeper","http://dbpedia.org/resource/Astrology","Astrology",1616
"http://dbpedia.org/resource/Nicholas_Culpeper","http://dbpedia.org/resource/Medicine","Medicine",1616
"http://dbpedia.org/resource/Thomas_Bartholin","http://dbpedia.org/resource/Medicine","Medicine",1616
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/resource/Officer_of_arms","Officer of arms",1617
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/resource/Antiquarian","Antiquarian",1617
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/resource/Alchemy","Alchemy",1617
"http://dbpedia.org/resource/Elias_Ashmole","http://dbpedia.org/resource/Astrologer","Astrologer",1617
"http://dbpedia.org/resource/Jonas_Moore","http://dbpedia.org/resource/Cadastral","Cadastral",1617
"http://dbpedia.org/resource/Jeremiah_Horrocks","http://dbpedia.org/resource/Mechanics","Mechanics",1618
"http://dbpedia.org/resource/Jeremiah_Horrocks","http://dbpedia.org/resource/Astronomy","Astronomy",1618
"http://dbpedia.org/resource/Francesco_Maria_Grimaldi","http://dbpedia.org/resource/Mathematics","Mathematics",1618
"http://dbpedia.org/resource/Francesco_Maria_Grimaldi","http://dbpedia.org/resource/Physics","Physics",1618
"http://dbpedia.org/resource/Jean_Picard","http://dbpedia.org/resource/Astronomer","Astronomer",1620
"http://dbpedia.org/resource/Magnus_Celsius","http://dbpedia.org/resource/Mathematics","Mathematics",1621
"http://dbpedia.org/resource/Magnus_Celsius","http://dbpedia.org/resource/Astronomy","Astronomy",1621
"http://dbpedia.org/resource/Vincenzo_Viviani","http://dbpedia.org/resource/Mathematician","Mathematician",1622
"http://dbpedia.org/resource/Vincenzo_Viviani","http://dbpedia.org/resource/Physicist","Physicist",1622
"http://dbpedia.org/resource/René-François_de_Sluse","http://dbpedia.org/resource/Mathematician","Mathematician",1622
"http://dbpedia.org/resource/Giovanni_Domenico_Cassini","http://dbpedia.org/resource/Mathematics","Mathematics",1625
"http://dbpedia.org/resource/Giovanni_Domenico_Cassini","http://dbpedia.org/resource/Astrology","Astrology",1625
"http://dbpedia.org/resource/Erhard_Weigel","http://dbpedia.org/resource/Mathematician","Mathematician",1625
"http://dbpedia.org/resource/Erhard_Weigel","http://dbpedia.org/resource/Astronomer","Astronomer",1625
"http://dbpedia.org/resource/Erhard_Weigel","http://dbpedia.org/resource/Philosopher","Philosopher",1625
"http://dbpedia.org/resource/William_Ramsay_(astrologer)","http://dbpedia.org/resource/Astrologer","Astrologer",1626
"http://dbpedia.org/resource/William_Ramsay_(astrologer)","http://dbpedia.org/resource/Physician","Physician",1626
"http://dbpedia.org/resource/Johannes_Hudde","http://dbpedia.org/resource/Mathematics","Mathematics",1628
"http://dbpedia.org/resource/Richard_Towneley","http://dbpedia.org/resource/Mathematics","Mathematics",1629
"http://dbpedia.org/resource/Richard_Towneley","http://dbpedia.org/resource/Astronomy","Astronomy",1629
"http://dbpedia.org/resource/Richard_Towneley","http://dbpedia.org/resource/Natural_philosophy","Natural philosophy",1629
"http://dbpedia.org/resource/Geminiano_Montanari","http://dbpedia.org/resource/Mathematics","Mathematics",1633
"http://dbpedia.org/resource/Geminiano_Montanari","http://dbpedia.org/resource/Physics","Physics",1633
"http://dbpedia.org/resource/Geminiano_Montanari","http://dbpedia.org/resource/Economics","Economics",1633
"http://dbpedia.org/resource/Geminiano_Montanari","http://dbpedia.org/resource/Astronomy","Astronomy",1633
"http://dbpedia.org/resource/Alessandro_Marchetti_(mathematician)","http://dbpedia.org/resource/Mathematician","Mathematician",1633
"http://dbpedia.org/resource/Francis_Willughby","http://dbpedia.org/resource/Ornithology","Ornithology",1635
"http://dbpedia.org/resource/Francis_Willughby","http://dbpedia.org/resource/Ichthyology","Ichthyology",1635
"http://dbpedia.org/resource/Pieter_de_Graeff","http://dbpedia.org/resource/Landlord","Landlord",1638
"http://dbpedia.org/resource/Pieter_de_Graeff","http://dbpedia.org/resource/Regent","Regent",1638
"http://dbpedia.org/resource/Gottfried_Kirch","http://dbpedia.org/resource/Astronomy","Astronomy",1639
