,relation,periode,effectif
518,Hungary-United Kingdom,1901-1950,5
519,Hungary-United Kingdom,1951-2000,0
520,Hungary-United States of America,1451-1800,0
521,Hungary-United States of America,1801-1850,0
522,Hungary-United States of America,1851-1900,1
523,Hungary-United States of America,1901-1950,12
524,Hungary-United States of America,1951-2000,4
525,India-France,1451-1800,0
526,India-France,1801-1850,0
527,India-France,1851-1900,0
528,India-France,1901-1950,2
529,India-France,1951-2000,0
530,India-Germany,1451-1800,0
531,India-Germany,1801-1850,0
532,India-Germany,1851-1900,4
533,India-Germany,1901-1950,0
534,India-Germany,1951-2000,0
535,India-India,1451-1800,0
536,India-India,1801-1850,0
537,India-India,1851-1900,3
538,India-India,1901-1950,6
539,India-India,1951-2000,0
540,India-Italy,1451-1800,0
541,India-Italy,1801-1850,0
542,India-Italy,1851-1900,4
543,India-Italy,1901-1950,0
544,India-Italy,1951-2000,0
545,India-United Kingdom,1451-1800,0
546,India-United Kingdom,1801-1850,0
547,India-United Kingdom,1851-1900,9
548,India-United Kingdom,1901-1950,2
549,India-United Kingdom,1951-2000,0
550,India-United States of America,1451-1800,0
551,India-United States of America,1801-1850,0
552,India-United States of America,1851-1900,0
553,India-United States of America,1901-1950,1
554,India-United States of America,1951-2000,0
555,Ireland-Germany,1451-1800,0
556,Ireland-Germany,1801-1850,0
557,Ireland-Germany,1851-1900,1
558,Ireland-Germany,1901-1950,3
559,Ireland-Germany,1951-2000,0
560,Ireland-Ireland,1451-1800,0
561,Ireland-Ireland,1801-1850,0
562,Ireland-Ireland,1851-1900,0
563,Ireland-Ireland,1901-1950,1
564,Ireland-Ireland,1951-2000,0
565,Ireland-United Kingdom,1451-1800,0
566,Ireland-United Kingdom,1801-1850,0
567,Ireland-United Kingdom,1851-1900,0
568,Ireland-United Kingdom,1901-1950,10
569,Ireland-United Kingdom,1951-2000,0
570,Ireland-United States of America,1451-1800,0
571,Ireland-United States of America,1801-1850,0
572,Ireland-United States of America,1851-1900,1
573,Ireland-United States of America,1901-1950,0
574,Ireland-United States of America,1951-2000,0
575,Israel-Israel,1451-1800,0
576,Israel-Israel,1801-1850,0
577,Israel-Israel,1851-1900,0
578,Israel-Israel,1901-1950,2
579,Israel-Israel,1951-2000,0
580,Israel-Palestine,1451-1800,0
581,Israel-Palestine,1801-1850,0
582,Israel-Palestine,1851-1900,0
583,Israel-Palestine,1901-1950,2
584,Israel-Palestine,1951-2000,0
585,Israel-United Kingdom,1451-1800,0
586,Israel-United Kingdom,1801-1850,0
587,Israel-United Kingdom,1851-1900,0
588,Israel-United Kingdom,1901-1950,1
589,Israel-United Kingdom,1951-2000,1
590,Israel-United States of America,1451-1800,0
591,Israel-United States of America,1801-1850,0
592,Israel-United States of America,1851-1900,0
593,Israel-United States of America,1901-1950,4
594,Israel-United States of America,1951-2000,2
595,Italy-Australia,1451-1800,0
596,Italy-Australia,1801-1850,0
597,Italy-Australia,1851-1900,0
598,Italy-Australia,1901-1950,1
599,Italy-Australia,1951-2000,0
600,Italy-Austria,1451-1800,2
601,Italy-Austria,1801-1850,0
602,Italy-Austria,1851-1900,1
603,Italy-Austria,1901-1950,0
604,Italy-Austria,1951-2000,0
