"o1","birthYear"
"http://dbpedia.org/resource/John_Winthrop_(educator)",1714
"http://dbpedia.org/resource/César-François_Cassini_de_Thury",1714
"http://dbpedia.org/resource/Claude_Adrien_Helvétius",1715
"http://dbpedia.org/resource/Antonio_de_Ulloa",1716
"http://dbpedia.org/resource/Leonardo_Ximenes",1716
"http://dbpedia.org/resource/Jean_le_Rond_d'Alembert",1717
"http://dbpedia.org/resource/Jean-Philippe_Loys_de_Cheseaux",1718
"http://dbpedia.org/resource/Maria_Gaetana_Agnesi",1718
"http://dbpedia.org/resource/Abraham_Gotthelf_Kästner",1719
"http://dbpedia.org/resource/Maximilian_Hell",1720
"http://dbpedia.org/resource/María_Andrea_Casamayor",1720
"http://dbpedia.org/resource/Jean-Baptiste_Chappe_d'Auteroche",1722
"http://dbpedia.org/resource/Washington_Shirley,_5th_Earl_Ferrers",1722
"http://dbpedia.org/resource/Tobias_Mayer",1723
"http://dbpedia.org/resource/Nicole-Reine_Lepaute",1723
"http://dbpedia.org/resource/Samuel_Dunn_(mathematician)",1723
"http://dbpedia.org/resource/John_Michell",1724
"http://dbpedia.org/resource/Franz_Aepinus",1724
"http://dbpedia.org/resource/Guillaume_Le_Gentil",1725
"http://dbpedia.org/resource/Edme-Sébastien_Jeaurat",1725
"http://dbpedia.org/resource/Jean-Étienne_Montucla",1725
"http://dbpedia.org/resource/August_Nathanael_Grischow",1726
"http://dbpedia.org/resource/Johann_Heinrich_Lambert",1728
"http://dbpedia.org/resource/Paolo_Frisi",1728
"http://dbpedia.org/resource/Johann_Daniel_Titius",1729
"http://dbpedia.org/resource/Nehemiah_Strong",1729
"http://dbpedia.org/resource/Charles_Messier",1730
"http://dbpedia.org/resource/Étienne_Bézout",1730
"http://dbpedia.org/resource/Charles_Bossut",1730
"http://dbpedia.org/resource/Benjamin_Banneker",1731
"http://dbpedia.org/resource/Francis_Wollaston_(astronomer)",1731
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731
"http://dbpedia.org/resource/Kosmas_Balanos",1731
"http://dbpedia.org/resource/David_Rittenhouse",1732
"http://dbpedia.org/resource/Jérôme_Lalande",1732
"http://dbpedia.org/resource/Nevil_Maskelyne",1732
"http://dbpedia.org/resource/José_Celestino_Mutis",1732
"http://dbpedia.org/resource/Émiland_Gauthey",1732
"http://dbpedia.org/resource/Wenceslaus_Johann_Gustav_Karsten",1732
"http://dbpedia.org/resource/Ajima_Naonobu",1732
"http://dbpedia.org/resource/Joseph_Brown_(astronomer)",1733
"http://dbpedia.org/resource/Jeremiah_Dixon",1733
"http://dbpedia.org/resource/Carsten_Niebuhr",1733
"http://dbpedia.org/resource/Jean-Charles_de_Borda",1733
"http://dbpedia.org/resource/Simone_Stratigo",1733
"http://dbpedia.org/resource/Franz_Mesmer",1734
"http://dbpedia.org/resource/Johann_Euler",1734
"http://dbpedia.org/resource/John_Dawson_(surgeon)",1734
"http://dbpedia.org/resource/Jacob_Philadelphia",1735
"http://dbpedia.org/resource/Hans_Momsen",1735
"http://dbpedia.org/resource/Antonio_Maria_Lorgna",1735
"http://dbpedia.org/resource/Gregorio_Fontana",1735
"http://dbpedia.org/resource/Jesse_Ramsden",1735
"http://dbpedia.org/resource/James_Lind_(naturalist)",1736
"http://dbpedia.org/resource/Jean_Sylvain_Bailly",1736
"http://dbpedia.org/resource/Joseph-Louis_Lagrange",1736
"http://dbpedia.org/resource/John_Arnold_(watchmaker)",1736
"http://dbpedia.org/resource/Nicolas_Vilant",1737
"http://dbpedia.org/resource/Charles_Hutton",1737
"http://dbpedia.org/resource/William_Herschel",1738
"http://dbpedia.org/resource/Israel_Lyons",1739
"http://dbpedia.org/resource/Anders_Johan_Lexell",1740
"http://dbpedia.org/resource/Jacques-André_Mallet",1740
"http://dbpedia.org/resource/Thomas_Knowlton",1740
"http://dbpedia.org/resource/Antonio_Ludeña",1740
"http://dbpedia.org/resource/Konstantinos_Tzechanis",1740
"http://dbpedia.org/resource/Patrick_Wilson_(astronomer)",1743
